Mutant ID ,Munatnt Operator ,Reference,Explanation,BugID,Bug identification
CI[36] ,"""Condition Insertion"", ","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The purpose of the code is to fold constants in JavaScript code, which means simplifying or optimizing expressions involving constants. In this particular part, the code is checking if a given node n is used as an assignment target. If it is, the code returns the node as is without making any changes. This check is necessary because if the node is being used as an assignment target (e.g., [][0] += 1), then the array literal acts as a temporary value that cannot be folded or optimized at this stage.",161,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","Scope Class Modification:  A new method getVarIterable() is added to the Scope class. This method returns an Iterable object containing all the variables declared in the scope. The mutant operator name for this modification is ""AddMethod"".     ScopedAliases Class Modification:  In the ScopedAliases class, within a certain context (specified by the code snippet you provided), the method findAliases(t) is called. This modification adds the method call to findAliases(t) in the given context. The mutant operator name for this modification is ""AddMethodCall"".

",162,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutant operator name for this modification is ""RemoveMethod"". This mutation removes the constructor ProcessProperties(), which was invoked when an instance of the AnalyzePrototypeProperties class was created. The removal of this constructor means that the symbolStack stack is not initialized with a NameContext containing the globalNode. Instead, the logic in the modified enterScope method handles different cases based on the current node n and pushes the appropriate NameContext onto the symbolStack.",163,
no,no,Defect4j innovation ,"condition to handle a specific case when comparing function parameters. The original code checks if the current function parameter (thisParam) is optional or has variable arguments, and if the compared function parameter (thatParam) is optional. If the condition is satisfied, the mutation adds an additional check. It verifies if the compared function parameter has variable arguments (thatIsVarArgs) and the type of the parameter (thatParamType) is null, UnknownType, or NoType. If these conditions are true, the mutation returns false.",164,
no,no,defect4j innovation ,"JSTypeRegistry Class Modification: In the hasProperty method, a new check is introduced to skip properties that belong to synthetic record types. The modification checks if greatestSubtype is a RecordType by calling the toMaybeRecordType() method. If greatestSubtype is a RecordType and it is marked as synthetic (isSynthetic()), the loop continues to the next iteration. The mutant operator name for this modification is ""AddConditionalCheck"". ObjectType Class Modification: A new method defineSynthesizedProperty is added to the ObjectType class. This method allows the definition of a synthesized property on an object type. The method takes a propertyName, a JSType for the property's type, and a propertyNode. The method calls the existing defineProperty method with false as the value for the inExterns parameter. The method returns a boolean value indicating the success of the property definition. The mutant operator name for this modification is ""AddMethod"".",165,"1-62,64-92,94-176 closure bugs ID"
no,no,defect4j innovation ,"a new condition to handle a specific case when matching a constraint on the PrototypeObjectType. The original code checks if the constraint is a RecordType and, if so, matches the record type constraint by calling the matchRecordTypeConstraint method. The modified code introduces an additional condition to handle the case when the constraint is a UnionType. It iterates over the alternate types (alt) within the UnionType and checks if each alternate type is a RecordType. If an alternate type is a RecordType, it also matches the record type constraint by calling the matchRecordTypeConstraint method. The purpose of this modification is to extend the matching behavior of the PrototypeObjectType to handle union types containing record types. It allows the PrototypeObjectType to match and process constraints from union types that include record types as alternates.",166,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation modifies the arguments related to the types (merged.typeA and merged.typeB) based on the conditions leftIsRefineable and rightIsRefineable. If the condition is true, the corresponding type is passed as an argument; otherwise, null is passed. The mutation modifies the arguments related to the types (restrictedLeftType and restrictedRightType) based on the conditions leftIsRefineable and rightIsRefineable. If the condition is true, the corresponding type is passed as an argument; otherwise, null is passed. The purpose of these modifications is to conditionally pass the types to the maybeRestrictTwoNames method based on the refineability flags (leftIsRefineable and rightIsRefineable). If the refineability flag is true, the corresponding type is passed as an argument; otherwise, null is passed. This allows for more flexibility in handling and restricting names in the context of type merging and narrowing scopes.",167,
"MOCS[20],CR[6]","""Modification of Condition Statement"",""Constant Replacement Mutator.""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The original code had t.getScopeDepth() <= 2 as the condition, and it has been modified to t.getScopeDepth() <= 1. The condition checks the depth of the current scope (t.getScopeDepth()) against a threshold. The purpose of this modification is to change the threshold for which scopes the first-order function analyzer looks at when analyzing variables. With the modified code, the analyzer will only consider scopes with a depth of 1 or less, instead of the original depth of 2 or less.",168,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The original code had the parameter tolerateUnknowns in the method signature, and it has been replaced with the parameter eqMethod of type EquivalenceMethod. This change modifies how the equivalence between parameter types is checked in the checkEquivalenceHelper method. The purpose of this modification is to introduce an EquivalenceMethod parameter that determines the method used for checking equivalence between parameter types. The eqMethod parameter allows for more flexibility in choosing the equivalence method based on the specific requirements or criteria of the comparison.",169,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The original code had a condition check for !(parent.isAssign() && (parent.getFirstChild() == n)) to exclude counting the left-hand side (lhs) of a top-level assignment chain. The modified code replaces this condition with a new method call isAssignChain(parent, cfgNode), which checks if the current node (parent) is part of an assignment chain leading up to the given cfgNode. The purpose of this modification is to refine the exclusion criteria for counting the uses of a variable within a control flow graph (cfg) node. The isAssignChain method checks if the current node is part of an assignment chain, ensuring that the left-hand side of a top-level assignment chain is not counted.",170,
"LOR[58],CI[36]","""Condition Insertion"",""Condition Insertion""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The original code had a condition check for objectType.hasReferenceName() && !hasLendsName, and it has been replaced with a new condition. The modified code returns the scope unchanged if either of the following conditions is true: objectType is null
    The node n has the boolean property REFLECTED_OBJECT set to true The purpose of this modification is to skip processing objects that either have no type information (objectType is null) or are marked as reflected objects (REFLECTED_OBJECT property is true).  The original code did not have this block. The modified code checks if the qualified name (qName) is not null and ends with the string "".prototype"". If the condition is true, it returns false, indicating that the declaration of prototype sets should not be inferred.The purpose of this modification is to exclude the inference of prototype sets by returning false when the qualified name ends with "".prototype"".",171,
no,no,Defect4j innovation ,"The original code checked if the qualified name (qName) ends with "".prototype"" to determine if the declaration of prototype sets should not be inferred. The modified code extends this check by additionally verifying the type of the associated class. The modified code retrieves the class name by removing the "".prototype"" suffix from the qName. It then looks up the variable slot for the class name in the scope and retrieves the associated type (classType). If the class type is not null and is either a constructor or an interface, the method returns false, indicating that the declaration of prototype sets should not be inferred. The purpose of this modification is to refine the condition for skipping the inference of prototype sets. It considers the associated class's type in addition to the qualified name.",172,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The modification removes the condition last.getType() == type && NodeUtil.isAssociative(type) from the if statement. As a result, the block inside the if statement will always be executed for assignment operations. This change implies that the right-associative binary operator check is no longer necessary for assignment operations. The new case statement adds support for specific binary operators (MUL, AND, OR, BITOR, BITXOR, BITAND) to perform rotation for associative operators. The tryRotateAssociativeOperator method is called to attempt the rotation of these operators.",173,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The modification adds an additional condition !compiler.isIdeMode() to the existing conditional statement. This condition checks if the compiler is not in IDE mode before considering the parse errors. If the compiler is not in IDE mode, it ensures that the root is set to a dummy block (IR.script()) when there are parse errors or an IOException.",174,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The modification adds an additional parameter namesToAlias to the method signature. This parameter is of type Set<String>, and it is used to pass a set of names that need to be aliased. The namesToAlias set can be used to specify specific names that should be aliased during the inlining process.",175,"1-62,64-92,94-176 closure bugs ID"
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The modification introduces a new variable varType that stores the type of the variable var. It checks if the variable is declared (left.hasChildren()) and if its type is not null (varType != null) and if the variable is not inferred (!var.isTypeInferred()). If these conditions are satisfied, then isVarDeclaration is set to true.",176,
MCR[2],"""MethodCallReplacement"" ","title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)"," inserts a new line of code this.finish(); before the existing code super.close();. The this.finish() method is not described in the given code, but it can be assumed that it performs some additional operations before closing the output stream.",Compress1,"1-48,50,52-53"
No operator ,no,no reference," introduces an insertion of several lines of code within the getNextArEntry() method. These lines of code are responsible for checking if the currentEntry is not null and, if so, iterating through the data of the current entry until reaching the end of the entry or the end of the input stream. If the end of the input stream is encountered before the entry is complete, the method returns null. This mutation is aimed at handling cases where an entry is not fully read before moving to the next entry.",2,
"VA[200],CI[36]","""Variable Assignment"",""Condition Insertion""","title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)"," new instance variable called haveUnclosedEntry, which is a boolean flag indicating whether the putArchiveEntry() method has been called without a corresponding closeArchiveEntry() call. This flag is initialized to false. Within the putArchiveEntry() method, the mutation inserts the line haveUnclosedEntry = true; to set the flag when a new entry is started. Within the closeArchiveEntry() method, the mutation inserts the line haveUnclosedEntry = false; to reset the flag when an entry is closed.",3,
"MOD[?],MCR[2]","""Method Call Deletion"",""MethodCallReplacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","In all three classes, the mutation removes the finish() method call within the close() method. This means that the finish() method, which is responsible for finalizing the archive and writing any necessary closing records, will no longer be called when closing the output stream.",4,
"MOCS[20],LOR[58]","""Modification of Conditional Statement"",""Logical Operator Replacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","additional conditions within the if (read == 0) block. Previously, the condition inf.finished() was used to check if the decompression of the current entry was finished, and if so, -1 was returned to indicate the end of the entry. However, the mutation introduces two additional conditions:

    If inf.finished() is true, indicating the end of the current entry, -1 is still returned.
    If lengthOfLastRead is -1, it throws an IOException with the message ""Truncated ZIP file.""

The mutation aims to handle cases where the ZIP file is truncated, meaning that the current entry's data is incomplete. By checking lengthOfLastRead for -1, it provides additional error handling for incomplete entries.",5,
"MOCS[20],MCR[2]","""Modification of Conditional Statement"",""MethodCallReplacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)"," introducing new variables myName and otherName. These variables store the names of the current ZipArchiveEntry object and the other ZipArchiveEntry object being compared, respectively. Previously, the equality check was performed directly on the name field of the current object and the name field of the other object. However, the mutation replaces this check with a check between myName and otherName.  the equality check was performed directly on the name field of the current object and the name field of the other object. However, the mutation replaces this check with a check between myName and otherName. The mutation is intended to ensure that if either name is null, the comparison is correctly handled to avoid potential NullPointerException. By introducing the new variables myName and otherName, the mutation provides a null-safe comparison for the names of the archive entries.",6,
"MOCS[20],DTR[5],MCR[2]","""Modification of Variable"" , ""DataTypeReplacement"",""MethodCallReplacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","modifies the code that reads each byte from the buffer. Instead of directly accessing the buffer and comparing its value to 0, the mutation introduces a new variable b that stores the value of the byte. Then, it checks if b is equal to 0 to identify the null byte. Additionally, the mutation applies a bitwise AND operation (b & 0xFF) to the casted character value to allow for sign-extension. This ensures that the resulting string contains the correct characters even if the byte value was originally negative.",7,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The stillPadding variable is initially set to true and is used to track whether the parser is encountering padding spaces at the beginning of the input buffer. The purpose of this variable is to skip these padding spaces and start parsing the actual octal digits. However, this mutation removes the variable and the associated conditionals, resulting in the removal of the logic to skip leading spaces. The removal of this logic can have an impact on the behavior of the parseOctal method. Without the stillPadding variable and the conditionals, the method will no longer skip leading spaces. As a result, if there are any leading spaces in the input buffer, they will be considered as valid octal digits and will be included in the parsing process. This can lead to incorrect parsing of the octal value and potentially produce incorrect results. In addition to the mutation, an extra check has been added to throw an IllegalArgumentException if the length of the input buffer is less than 2. This check ensures that the input buffer has a minimum length of 2, which is necessary for parsing octal digits correctly.",8,
no,no,no reference,"The getCount() method is marked as @Deprecated, which means it is discouraged to use this method and might be removed in future versions. It returns an int value, which is obtained by casting the result of the getBytesWritten() method to int. This implies that the count of bytes written is expected to be within the range of an int value. The getBytesWritten() method returns the number of bytes written by accessing the getBytesWritten() method of the CountingOutputStream object, which is assigned to the out field of the TarArchiveOutputStream class. This suggests that CountingOutputStream is a custom class used for counting the number of bytes written to an output stream.  the removal of the count(numToWrite) method call in the write(byte[] buffer, int offset, int numToWrite) method. The mutant operator used is the ""Remove Method Call"" operator. The count(numToWrite) method call is responsible for updating the count of bytes written in the TarArchiveOutputStream. It is typically used to keep track of the total number of bytes written to the underlying output stream. The removal of this method call can have an impact on the behavior of the write(byte[] buffer, int offset, int numToWrite) method. Without the count(numToWrite) method call, the count of bytes written will not be updated. Consequently, the getCount() method will return incorrect results since it relies on the getBytesWritten() method, which, in turn, depends on the count being updated. Removing the count(numToWrite) method call is likely an unintended mutation as it may result in incorrect counting of bytes written and incorrect values returned by getCount() and getBytesWritten() methods.",9,
"MCR[2],FLI[205]","""MethodCallReplacement"",""For Loop Insertion""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","change in the order of operations within the for loop in the reparseCentralDirectory() method of the ZipFile class. The mutant operator used is the ""Reordering Statements"" operator. In the original code, the loop iterates over the entries map using the enhanced for loop and retrieves each ZipArchiveEntry object ze. Then, it retrieves the corresponding OffsetEntry from the entries map using ze as the key. The mutation reorders the statements within the loop. It first creates a new LinkedHashMap called origMap and initializes it with the entries from the entries map. Then, it clears the entries map. Afterwards, the loop iterates over the keys of origMap, retrieves each ZipArchiveEntry object ze, and retrieves the corresponding OffsetEntry from origMap. It then performs further operations with ze and offsetEntry. Finally, the mutation adds the retrieved ze and offsetEntry back to the entries map.",10,
CI[36] ,"""Condition Insertion"", ","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","ddition of an if statement surrounding the existing code block. The mutant operator used is the ""Insertion of Statements"" operator.In the original code, there is a try-catch block that attempts to create a TarArchiveInputStream and read the next entry from it. The purpose is to detect if the given input stream represents a TAR archive. If an exception is thrown during this process, it is caught and an ArchiveException is thrown. The mutation adds an if statement before the try-catch block. The condition of the if statement checks if the signatureLength is greater than or equal to 512. If the condition is true, the existing code block within the try block is executed; otherwise, it is skipped. The impact of this mutation is that the code block within the try block will only be executed if the signatureLength is greater than or equal to 512. This implies that the TAR archive detection logic is only triggered when the signatureLength meets this condition.If the condition is not met, the code inside the try block will be skipped, and the ArchiveException will be thrown without attempting to detect the TAR archive. This can lead to incorrect identification of TAR archives if the signatureLength condition is an important factor in the detection process.",11,
EI[38],"""Exception Insertion(try & catch)""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","addition of a try-catch block around the creation of a new TarArchiveEntry object in the getNextTarEntry() method of the TarArchiveInputStream class. The mutant operator used is the ""Insertion of Exception Handling Code"" operator. In the original code, a new TarArchiveEntry object is created directly from the headerBuf byte array. However, the mutation inserts a try-catch block around this creation process. Inside the try block, the TarArchiveEntry object is created as usual. If an IllegalArgumentException is thrown during the creation of the TarArchiveEntry, the catch block is executed. Inside the catch block, an IOException is created with a descriptive error message and the original IllegalArgumentException as the cause. Finally, the IOException is thrown. The impact of this mutation is to handle the IllegalArgumentException by wrapping it in an IOException and rethrowing it. This modification allows for propagating the exception as an IOException instead of the original IllegalArgumentException. The rationale behind this mutation is to provide a more generic exception type (IOException) instead of a specific one (IllegalArgumentException) while propagating the error. It may be useful if the calling code or the exception handling mechanism specifically expects or handles IOException instances rather than IllegalArgumentException instances.",12,
"CI[36],MCR[2]","""Condition Insertion"", ","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","Addition of an if statement and the corresponding modifications to the name variable assignment within the setName(String name) method of the ZipArchiveEntry class. The mutant operator used is the ""Insert Conditional"" operator. In the original code, the name parameter is assigned directly to the name variable. The purpose of this method is to set the name of the ZipArchiveEntry object. The mutation adds an if statement before the assignment. The condition of the if statement checks if name is not null, the platform is FAT (presumably a specific platform flag), and the name does not contain a forward slash (""/""). If the condition is true, the name variable is modified using the replace('\\', '/') method, which replaces any backslashes ('') in the name with forward slashes ('/'). The impact of this mutation is that if the conditions of the if statement are met, the modification to the name variable is performed, replacing backslashes with forward slashes. This change ensures consistent path separators by converting backslashes to forward slashes when the platform is FAT and the name does not contain a forward slash. The purpose of this mutation is likely to ensure consistent path representation within the ZipArchiveEntry object, regardless of the platform-specific path separator. By converting backslashes to forward slashes, it ensures uniformity and avoids issues related to mixed path separators.",13,
MOCS[20],"""Modification of Conditional Statement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","change in the logic for checking if all bytes in the buffer are null (0) within the parseOctal() method of the TarUtils class. The mutant operator used is the ""Change Conditional Operator"" operator. In the original code, there is a loop that iterates over the bytes in the buffer from start to end. It checks if any byte in the range is not null (0) and sets the allNUL flag to false. If all bytes are null, it returns 0L. The mutation simplifies the logic by removing the loop and replacing it with a single check on buffer[start] to see if it is null (0). If buffer[start] is null, it returns 0L. The impact of this mutation is that it only checks the first byte (buffer[start]) for nullness instead of checking all bytes in the range. This change assumes that if the first byte is null, then all bytes in the range are null. However, this assumption may not always hold true.",14,
"SI[77],MOCS[20],ROR[70]","""Statement Insertion"",""Modification of Condition Statemenet"",""Relational Operator Replacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","change in the condition and the order of comparisons within the equals(Object obj) method of the ZipArchiveEntry class. The mutant operator used is the ""Relational Operator Replacement"" operator. In the original code, the equality comparison for the comment field (myComment and otherComment) is performed using the equals() method. The condition checks if myComment is null and if it is different from otherComment, in which case it returns false. If myComment is not null, it performs the equals() comparison. The mutation modifies the condition by changing the order of comparisons and handling the null values differently. It first checks if myComment is null, and if it is, it assigns an empty string to myComment. Similarly, it checks if otherComment is null and assigns an empty string to otherComment if it is. The comparisons are then made using the modified myComment and otherComment variables. The condition now checks if getTime() is equal, myComment is equal to otherComment, and various other fields are equal.",15,
"MCR[2],CI[36]","""Method Called Replacement"" , "" Condition Insertion""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","method call within the try block of the ArchiveStreamFactory class, specifically in the try block of the getArchiveInputStream(InputStream in) method. The mutant operator used is the ""Method Call Replacement"" operator. In the original code, the method getNextEntry() is called on the TarArchiveInputStream object (tais) within the try block. It reads the next entry from the input stream and returns it. This method call is used to verify the header checksum. The mutation modifies the code by replacing the getNextEntry() method call with getNextTarEntry(). This change suggests that the intention might be to retrieve the next TarArchiveEntry object instead of simply advancing to the next entry. Additionally, it adds a condition using isCheckSumOK() to check if the header checksum is valid before returning the TarArchiveInputStream object. The impact of this mutation is that it ensures that the header checksum is valid before returning the TarArchiveInputStream object. If the checksum is not valid, the code does not return the stream. This modification adds an additional verification step to ensure the integrity of the archive.",16,
WLI[205],"""While Condition insertion""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","loop and the corresponding modifications within the parseOctal() method of the TarUtils class. The mutant operator used is the ""Insert Statement"" operator. In the original code, there is a check to determine if the trailer byte is null (0) or a space (' '). If it is, the end index is decremented to exclude the trailing nulls or spaces. The mutation adds a while loop after the if statement. The loop condition checks if start is less than end - 1 (to avoid going beyond the valid range) and if the trailer byte is null (0) or a space (' '). If the condition is true, the loop iterates, decrementing end and updating the trailer byte. The impact of this mutation is that it extends the removal of trailing nulls and spaces beyond a single occurrence. The loop ensures that all consecutive trailing nulls and spaces are removed, as long as the loop condition is satisfied. This change allows for more robust handling of additional nulls or spaces at the end of the buffer.",17,
"WLI[205],MCR[2]","""While Condition insertion"",""MethodCallReplacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","addition of a while loop and the corresponding modifications within the writePaxHeaders() method of the TarArchiveOutputStream class. The mutant operator used is the ""Insert Statement"" operator. In the original code, there is a check to determine if the name string ends with a forward slash (""/""). If it does, the code removes the trailing slash by creating a substring of name excluding the last character. The mutation adds a while loop after the if statement. The loop condition checks if name ends with a forward slash (""/""). If the condition is true, the loop iterates, and within the loop, the code removes the trailing slash by creating a substring of name excluding the last character. The impact of this mutation is that it ensures that all consecutive trailing slashes at the end of the name string are removed. The loop allows for multiple iterations until there are no more trailing slashes present in the name string. The rationale behind this mutation could be to provide more robust handling of trailing slashes in the name string. By using a loop, the mutation ensures that all trailing slashes are removed, which could prevent issues related to the creation of directories or other unintended behavior when writing the Tar entry.",18,
ROR[70],"""Relational Operator Replacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","modification of the comparison operator within the Zip64ExtendedInformationExtraField class. The mutant operator used is the ""Relational Operator Replacement"" operator. In the original code, there is a comparison between the length of the rawCentralDirectoryData byte array and the expected length. If the lengths are not equal, a ZipException is thrown. The mutation changes the comparison operator from != (not equal) to < (less than). This means that if the length of rawCentralDirectoryData is less than the expected length, a ZipException will be thrown. The impact of this mutation is that it allows for a lenient check on the length of the rawCentralDirectoryData byte array. Instead of requiring an exact match with the expected length, the mutation considers any length that is smaller than the expected length as an exception.",19,
COR[10],"""Conditional operator Replacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in the given code is a Conditional Operator Replacement mutation. The original code has the condition if (mode != 0), which checks if the mode value is not equal to zero. The mutation replaces this condition with if (CpioUtil.fileType(mode) != 0), which uses a method fileType from the CpioUtil class to determine the file type based on the mode value. The purpose of this mutation is to change the condition from a simple inequality check with zero to a more complex method call, potentially altering the behavior of the code. However, without knowing the implementation of the fileType method, it is difficult to determine the exact behavior change and its implications.",20,
COR[10],"""Conditional Operator Replacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","In the original code, the condition if (shift == 0) is used to determine when to write the cache value to the header. The mutation changes this condition to if (--shift < 0), which decrements the shift value and then checks if it is less than zero. This mutation modifies the logic for writing the cache value to the header. In the original code, the condition checks if shift is exactly equal to zero before writing, while in the mutated code, the condition checks if shift is less than zero. This mutation ensures that the cache value is always written to the header when there are remaining bits to be written, even if shift becomes negative.",21,
"SD[28],MRV[145]","""Statement Deletion"",""Modification Of Return Value""","title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","In the original code, the statement setupBlock(); is called after initializing the block in the constructor of the BZip2CompressorInputStream class. The mutation deletes this statement from the code, resulting in the removal of the setupBlock() method invocation. By deleting this statement, the setupBlock() method is no longer called in the constructor. This can potentially affect the initialization or setup of certain internal variables or configurations related to the block. The deletion of this statement may lead to incorrect behavior or missing necessary initialization steps in the BZip2CompressorInputStream class.In the original code, there is a variable retChar assigned the value of currentChar, and then the retChar is returned at the end of the read0() method. The mutation deletes the assignment statement final int retChar = this.currentChar; and removes the return statement return retChar; from the method. By deleting these statements, the method no longer assigns the value of currentChar to retChar or returns retChar. This means that the method no longer returns any value explicitly. The behavior of the method changes as it will always implicitly return -1 when the end of the file is reached, as specified by the case EOF in the switch statement.",22,"1-48,50,52-53"
"BWO[186],DTR[5]","""BitWise Operator"",""DatatypeReplacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","In the original code, the expression (coder.properties[i + 1] << (8 * i)) is used to shift the bits of coder.properties[i + 1] by (8 * i) positions. However, the mutation changes the bitwise shift operator << to a bitwise AND operator &, resulting in (coder.properties[i + 1] & 0xffl) << (8 * i). This mutation applies the bitwise AND operation & with 0xffl to coder.properties[i + 1]. The purpose of this mutation is to ensure that only the lowest 8 bits of coder.properties[i + 1] are considered in the subsequent bitwise shift operation. The 0xffl value represents a bitmask with all bits set to 1 in the lowest byte, effectively preserving only the lowest 8 bits. By applying this mutation, the value of coder.properties[i + 1] is restricted to the range 0-255 (0x00-0xFF) before being shifted by (8 * i). This mutation prevents any bits outside the lowest byte from influencing the result of the shift operation.",23,
WLI[205],"""While Condition insertion""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)",,24,
