1:LVR:FALSE:TRUE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):58:1981:false |==> true
381:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):170:7413:X = "function"; |==> <NO-OP>
382:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):170:7429:true |==> false
383:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):170:7426:id = true; |==> <NO-OP>
384:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):171:7476:X = "volatile"; |==> <NO-OP>
385:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):171:7492:true |==> false
386:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):171:7489:id = true; |==> <NO-OP>
387:LVR:0:POS:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):173:7577:0 |==> 1
388:LVR:0:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):173:7577:0 |==> -1
389:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):174:7601:c == 'i' |==> c <= 'i'
390:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):174:7601:c == 'i' |==> c >= 'i'
391:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):174:7602:c == 'i' |==> false
392:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):174:7611:X = "interface"; |==> <NO-OP>
393:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):174:7628:true |==> false
394:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):174:7625:id = true; |==> <NO-OP>
395:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):175:7661:c == 'p' |==> c <= 'p'
396:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):175:7661:c == 'p' |==> c >= 'p'
397:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):175:7662:c == 'p' |==> false
398:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):175:7671:X = "protected"; |==> <NO-OP>
399:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):175:7688:true |==> false
400:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):175:7685:id = true; |==> <NO-OP>
401:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):176:7721:c == 't' |==> c <= 't'
402:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):176:7721:c == 't' |==> c >= 't'
403:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):176:7722:c == 't' |==> false
404:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):176:7731:X = "transient"; |==> <NO-OP>
405:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):176:7748:true |==> false
406:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):176:7745:id = true; |==> <NO-OP>
407:LVR:POS:0:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):178:7819:1 |==> 0
408:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):178:7819:1 |==> -1
409:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):179:7843:c == 'm' |==> c <= 'm'
410:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):179:7843:c == 'm' |==> c >= 'm'
411:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):179:7844:c == 'm' |==> false
412:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):179:7853:X = "implements"; |==> <NO-OP>
413:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):179:7871:true |==> false
414:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):179:7868:id = true; |==> <NO-OP>
415:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):180:7904:c == 'n' |==> c <= 'n'
416:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):180:7904:c == 'n' |==> c >= 'n'
417:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):180:7905:c == 'n' |==> false
418:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):180:7914:X = "instanceof"; |==> <NO-OP>
419:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):180:7932:true |==> false
420:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):180:7929:id = true; |==> <NO-OP>
421:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):182:7992:X = "synchronized"; |==> <NO-OP>
422:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):182:8012:true |==> false
423:STD:<ASSIGN>:<NO-OP>:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):182:8009:id = true; |==> <NO-OP>
424:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):185:8140:X != null |==> true
425:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):185:8151:X != s |==> true
426:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):185:8139:X != null && X != s |==> X != null == (X != s)
427:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):185:8147:X != null && X != s |==> false
428:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):185:8139:X != null && X != s |==> X != null
429:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):185:8150:X != null && X != s |==> X != s
430:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):185:8139:X != null && X != s && !X.equals(s) |==> (X != null && X != s) == !X.equals(s)
431:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):185:8155:X != null && X != s && !X.equals(s) |==> false
432:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):185:8139:X != null && X != s && !X.equals(s) |==> X != null && X != s
433:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):185:8158:X != null && X != s && !X.equals(s) |==> !X.equals(s)
434:LVR:FALSE:TRUE:com.google.javascript.rhino.TokenStream@isKeyword(java.lang.String):185:8179:false |==> true
435:LVR:0:POS:com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):193:8327:0 |==> 1
436:LVR:0:NEG:com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):193:8327:0 |==> -1
437:ROR:==(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):193:8317:length == 0 |==> length <= 0
438:ROR:==(int,int):>=(int,int):com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):193:8317:length == 0 |==> length >= 0
439:ROR:==(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):193:8324:length == 0 |==> false
440:LVR:0:POS:com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):194:8384:0 |==> 1
441:LVR:0:NEG:com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):194:8384:0 |==> -1
442:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):193:8317:length == 0 || !Character.isJavaIdentifierStart(s.charAt(0)) |==> length == 0 != !Character.isJavaIdentifierStart(s.charAt(0))
443:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):193:8317:length == 0 || !Character.isJavaIdentifierStart(s.charAt(0)) |==> length == 0
444:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):194:8342:length == 0 || !Character.isJavaIdentifierStart(s.charAt(0)) |==> !Character.isJavaIdentifierStart(s.charAt(0))
445:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):193:8329:length == 0 || !Character.isJavaIdentifierStart(s.charAt(0)) |==> true
446:LVR:FALSE:TRUE:com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):195:8406:false |==> true
447:LVR:POS:0:com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):198:8441:1 |==> 0
448:LVR:POS:NEG:com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):198:8441:1 |==> -1
449:ROR:<(int,int):!=(int,int):com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):198:8444:i < length |==> i != length
450:ROR:<(int,int):<=(int,int):com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):198:8444:i < length |==> i <= length
451:ROR:<(int,int):FALSE(int,int):com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):198:8446:i < length |==> false
452:COR:<METHOD_INVOCATION(boolean)>:FALSE:com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):200:8519:Character.isJavaIdentifierPart(s.charAt(i)) |==> false
453:COR:<METHOD_INVOCATION(boolean)>:TRUE:com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):200:8519:Character.isJavaIdentifierPart(s.charAt(i)) |==> true
454:LVR:FALSE:TRUE:com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):201:8553:false |==> true
455:LVR:TRUE:FALSE:com.google.javascript.rhino.TokenStream@isJSIdentifier(java.lang.String):205:8592:true |==> false
